,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2022-00000047,12/31/21,20:45,,01/01/22,03:31,Stolen Motor Vehicle,Unfounded
2,2022-00000238,01/01/22,23:57,Lot XX1,01/01/22,23:57,DWI/DUI,Arrest
4,2022-00000271,01/02/22,05:12,University Blvd,01/02/22,05:12,DWI/DUI,Arrest
6,2022-00000623,01/04/22,13:55,9100 block of Bridgewater St,01/04/22,13:55,Damaged Property,CBE
8,2022-00000624,01/04/21,13:00,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",01/04/22,14:34,Damage to State Property,CBE
10,2022-00001188,12/23/21,08:38,4200 block of Chapel Ln,01/07/22,14:51,Theft,Investigation Pending
12,2022-00001495,01/08/22,17:14,"91, Chemistry, Chemistry Building at 8051 Regents Dr",01/08/22,17:14,Injured/Sick Person,CBE
14,2022-00001605,01/09/22,01:50,University Blvd,01/09/22,01:50,DWI/DUI,Arrest
16,2022-00001657,01/08/22,15:00,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr",01/09/22,08:49,Vandalism,Investigation Pending
18,2022-00001659,01/07/22,20:00,"35, McKeldin Library at 7649 Library Ln",01/09/22,08:53,Vandalism,Investigation Pending
20,2022-00001913,01/10/22,11:44,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",01/10/22,11:44,Damage to State Property,CBE
22,2022-00001968,01/10/22,17:30,Health Center at 3983 Campus Dr,01/10/22,17:30,Emergency Petition,CBE
24,2022-00002305,01/12/22,12:41,"Drazek Circle, UMGC at 346 Ehrensberger Dr",01/12/22,12:41,Check on the Welfare,CBE
26,2022-00002466,12/21/21,08:00,3400 block of Tulane Dr,01/13/22,11:40,Lost Property,CBE
28,2022-00002595,01/14/22,01:47,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",01/14/22,01:47,Vandalism,Arrest
30,2022-00002618,01/13/22,12:00,University Blvd,01/14/22,09:02,Vandalism,Active/Pending
32,2022-00002871,01/15/22,16:45,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr",01/15/22,16:55,Theft,Active/Pending
34,2022-00002966,01/16/22,00:30,Frat Row,01/16/22,00:30,DWI/DUI,Arrest
36,2022-00002978,01/16/22,01:26,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr",01/16/22,01:26,Burglary,Arrest
38,2022-00003242,01/14/22,08:30,"Club House, Golf Course Club House at 3800 Golf Course Rd",01/17/22,10:56,Recovered Stolen Motor Vehicle,CBE
40,2022-00003985,08/23/21,08:00,Jull Hall at 4196 Stadium Dr,01/20/22,10:02,Telephone/EMail Misuse,Active/Pending
